,Code,Filename,Real_flag
349,5KU,20181117_050307.avi,0.0
350,5LQ,20181117_050550.avi,0.0
351,5QZ,20190126_123023.avi,0.0
352,0NU,20181117_041959.avi,0.0
353,5JB,20181117_043224.avi,0.0
354,0KV,20181020_035826.avi,0.0
355,5JG,20181117_043247.avi,0.0
356,0LS,20181023_040607.avi,0.0
357,0LI,20181022_113414.avi,0.0
358,0L1,20181020_045826.avi,0.0
359,0NG,20181117_041818.avi,0.0
360,5K0,20181117_050028.avi,0.0
361,0M7,20181023_102224.avi,0.0
362,0KG,20181020_033754.avi,0.0
363,0MM,20181117_041531.avi,0.0
364,5KY,20181117_050328.avi,0.0
365,5RS,20190126_131254.avi,0.0
366,5MU,20181206_024002.avi,0.0
367,0LQ,20181023_030004.avi,0.0
368,5JK,20181117_045900.avi,0.0
369,0KP,20181020_034830.avi,0.0
370,5MR,20181206_021238.avi,0.0
371,0LE,20181022_111718.avi,0.0
372,5RA,20190126_123825.avi,0.0
373,0KU,20181020_035308.avi,0.0
374,5KD,20181117_050136.avi,0.0
375,5LG,20181117_050459.avi,0.0
376,003,20180814_050001.avi,0.0
377,004,20180814_050556.avi,0.0
378,005,20180814_050603.avi,0.0
379,006,20180814_050609.avi,0.0
380,007,20180814_061256.avi,0.0
381,008,20180814_095103.avi,0.0
382,009,20180814_100539.avi,0.0
383,00A,20180814_111326.avi,0.0
384,00B,20180819_050002.avi,0.0
385,00C,20180819_050621.avi,0.0
386,00D,20180819_050649.avi,0.0
387,00E,20180819_050652.avi,0.0
388,00F,20180819_050658.avi,0.0
389,00G,20180819_050718.avi,0.0
390,00H,20180819_050730.avi,0.0
391,00I,20180819_050734.avi,0.0
392,00J,20180819_051230.avi,0.0
393,00K,20180819_051236.avi,0.0
394,00L,20180819_051303.avi,0.0
395,00M,20180819_051308.avi,0.0
396,00N,20180819_051319.avi,0.0
397,00O,20180819_051344.avi,0.0
398,00P,20180819_051349.avi,0.0
399,00Q,20180819_051404.avi,0.0
400,00R,20180819_051417.avi,0.0
401,00S,20180819_051428.avi,0.0
402,00T,20180819_051442.avi,0.0
